銜	衔
氣	气
輥	辊
戧	戗
攩	挡
頫	俯
縯	演
鐳	镭
厲	厉
隴	陇
貸	贷
蘿	萝
饁	馌
飀	飗
籃	篮
廄	厩
則	则
鐠	镨
蝕	蚀
顏	颜
驗	验
癟	瘪
闞	阚
蹺	跷
軤	轷
蕩	荡
顫	颤
繯	缳
坵	丘
觶	觯
浹	浃
賸	剩
濺	溅
綃	绡
騂	骍
鎇	镅
倆	俩
璉	琏
見	见
認	认
鸚	鹦
躥	蹿
莧	苋
颳	刮
鄰	邻
蠶	蚕
搾	榨
驂	骖
構	构
諍	诤
汎	泛
鯗	鲞
繚	缭
鋝	锊
鑞	镴
裡	里
襠	裆
橢	椭
轤	轳
籮	箩
僱	雇
痳	麻
夾	夹
繫	系
頁	页
錇	锫
隊	队
憐	怜
硯	砚
鶘	鹕
脛	胫
檢	检
澤	泽
礫	砾
騭	骘
週	周
銲	焊
嘵	哓
氹	凼
擋	挡
撾	挝
絃	弦
繅	缫
鍇	锴
義	义
闈	闱
處	处
諸	诸
籙	箓
緘	缄
廚	厨
剝	剥
鏜	镗
諢	诨
濤	涛
婭	娅
寬	宽
歷	历
棶	梾
軺	轺
擾	扰
鮁	鲅
邇	迩
錆	锖
燙	烫
斕	斓
犛	牦
級	级
礄	硚
攪	搅
馭	驭
鈰	铈
嚳	喾
儲	储
芻	刍
膽	胆
撿	捡
鯁	鲠
穀	谷
黃	黄
鍆	钔
韉	鞯
沍	冱
請	请
颶	飓
槍	枪
澦	滪
轎	轿
鰹	鲣
嶸	嵘
幘	帻
勛	勋
針	针
遜	逊
睞	睐
詠	咏
淥	渌
贊	赞
蕪	芜
駭	骇
顬	颥
峯	峰
吒	咤
鄔	邬
紅	红
玆	兹
疊	叠
鵃	鸼
芐	苄
憒	愦
蒔	莳
頗	颇
纘	缵
爛	烂
鶚	鹗
瞞	瞒
誠	诚
壽	寿
騫	骞
匱	匮
繃	绷
驍	骁
橋	桥
嗊	唝
蕕	莸
擔	担
塗	涂
鯖	鲭
彙	汇
剛	刚
鷚	鹨
韞	韫
歡	欢
蹣	蹒
鍺	锗
賤	贱
燐	磷
曨	昽
穫	获
藪	薮
鹼	碱,硷
鋰	锂
陳	陈
滸	浒
淺	浅
頂	顶
約	约
隉	陧
琊	玡
褌	裈
攔	拦
騖	骛
鎛	镈
種	种
瘞	瘗
誡	诫
謠	谣
鮫	鲛
碭	砀
餬	糊
綯	绹
縮	缩
銱	铞
進	进
璵	玙
覷	觑
訶	诃
漸	渐
悽	凄
鐋	铴
組	组
牆	墙
囉	啰
靈	灵
鑊	镬
